Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/16KB/16KB.out,37254.377,1.964,10.497,9.457,1.555,166.430,129.617,153.995
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/32KB/32KB.out,67011.288,2.342,10.867,9.405,1.503,321.497,130.338,307.650
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/64KB/64KB.out,25040.568,2.317,10.840,9.395,1.504,33.459,130.979,39.267
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/128KB/128KB.out,41078.347,2.333,10.845,8.269,1.504,33.895,132.118,39.951
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/256KB/256KB.out,79979.024,3.688,12.194,9.293,1.337,36.603,133.347,78.848
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/512KB/512KB.out,139569.408,3.708,12.201,8.190,1.337,37.887,135.310,80.222
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/1024KB/1024KB.out,255340.325,8.897,17.359,8.042,0.937,42.086,137.910,80.819
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/2048KB/2048KB.out,510680.650,8.922,17.371,8.042,0.937,45.777,141.601,161.639
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/4096KB/4096KB.out,979533.339,29.143,37.530,7.771,0.431,54.309,146.934,165.421
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/16KB/16KB.out,10965.937,0.599,0.599,29.041,38.907,3.438,0.739,1.523
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/32KB/32KB.out,21234.090,0.747,0.747,15.194,29.071,5.659,1.031,2.998
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/64KB/64KB.out,41090.063,1.044,1.044,13.779,19.163,11.165,1.376,5.634
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/128KB/128KB.out,81101.086,1.372,1.372,7.036,14.180,20.022,1.964,11.184
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/256KB/256KB.out,157179.369,2.385,2.385,6.117,7.553,39.812,2.634,20.999
