Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/RRAM/16KB/16KB.out,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/RRAM/32KB/32KB.out,667765,2.3575,20.4833,10.2451,0.795,57.74,421.764,1243.37
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/RRAM/64KB/64KB.out,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/RRAM/128KB/128KB.out,966627,2.57263,20.5725,9.91921,0.794,64.8628,427.529,2534.05
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/RRAM/256KB/256KB.out,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/RRAM/512KB/512KB.out,2182510.0,3.143,20.8131,9.16191,0.794,85.4509,445.324,5443.46
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/RRAM/1024KB/1024KB.out,3263030.0,3.43229,20.9428,9.08209,0.795,112.362,472.08,11143.0
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/RRAM/2048KB/2048KB.out,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/RRAM/4096KB/4096KB.out,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/PCRAM/16KB/16KB.out,47441.2,0.055,150.031,492.303,0.107,166.684,11626.9,7.97047
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/PCRAM/32KB/32KB.out,81812.6,0.162,150.107,186.542,0.107,265.678,11546.3,47.1998
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/PCRAM/64KB/64KB.out,82055.6,0.162,150.107,186.542,0.107,294.543,11575.2,94.3997
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/PCRAM/128KB/128KB.out,82541.6,0.162,150.107,186.542,0.107,354.695,11635.4,188.799
