Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/32KB/32KB.out,43409um^2,0.036ps,0.032ps,742.573GB/s,667.538GB/s,232.589pJ,232.395pJ,14.9299uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/64KB/64KB.out,53428.5um^2,0.054ps,0.048ps,489.215GB/s,421.442GB/s,236.148pJ,235.763pJ,27.5784uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/128KB/128KB.out,55972.7um^2,0.076ps,0.068ps,482.788GB/s,380.472GB/s,237.743pJ,237.352pJ,37.067uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/256KB/256KB.out,80424.3um^2,0.102ps,0.09ps,373.83GB/s,280.426GB/s,242.465pJ,241.685pJ,73.2387uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/512KB/512KB.out,104266um^2,0.137ps,0.119ps,234.602GB/s,194.872GB/s,245.238pJ,244.704pJ,122.111uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/1024KB/1024KB.out,172814um^2,0.184ps,0.152ps,211.607GB/s,163.797GB/s,252.148pJ,251.083pJ,228.057uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/2048KB/2048KB.out,203108um^2,0.252ps,0.211ps,190.131GB/s,167.909GB/s,255.931pJ,254.181pJ,266.258uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/4096KB/4096KB.out,281358um^2,0.37ps,0.305ps,120.884GB/s,99.5623GB/s,262.035pJ,260.519pJ,447.798uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/16KB/16KB.out,99060.7um^2,1.57996ns,20.0704ns,10.6414GB/s,0.799MB/s,315.508pJ,621.725pJ,2461.68mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/32KB/32KB.out,164425um^2,1.60799ns,20.0844ns,10.6414GB/s,0.799MB/s,321.347pJ,627.563pJ,4923.35mW
