Tool,Isolation,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
Destiny,iso_area,WriteDynamicEnergy,PCRAM,2048,551838,0.768,150.409,79.7082,0.107,1105.11,11667.2,5963.08
Destiny,iso_area,WriteDynamicEnergy,PCRAM,4096,552810,0.769,150.409,79.7082,0.107,1238.34,11800.4,11926.2
Destiny,iso_area,ReadEDP,STTRAM,16,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
Destiny,iso_area,ReadEDP,STTRAM,32,598414,1.83307,10.2293,10.6803,1.5874,75.1886,172.025,2474.66
Destiny,iso_area,ReadEDP,STTRAM,64,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
Destiny,iso_area,ReadEDP,STTRAM,128,1200550.0,2.1545,10.3948,10.4903,1.58389,91.944,187.702,5133.39
Destiny,iso_area,ReadEDP,STTRAM,256,1948220.0,2.73214,10.6927,10.4801,1.58104,104.594,200.429,10176.4
Destiny,iso_area,ReadEDP,STTRAM,512,2368620.0,2.81954,10.7273,10.4903,1.58389,139.872,235.63,20533.5
Destiny,iso_area,ReadEDP,STTRAM,1024,4283510.0,3.99366,11.3692,10.4619,1.56199,131.883,226.188,20912.9
Destiny,iso_area,ReadEDP,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_area,ReadEDP,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_area,ReadEDP,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_area,ReadEDP,SRAM,32,94133.2,0.153,0.126,233.496,204.778,12.7686,12.2961,13.4895
Destiny,iso_area,ReadEDP,SRAM,64,126776,0.153,0.126,233.496,204.778,26.9655,26.4931,26.9791
Destiny,iso_area,ReadEDP,SRAM,128,127019,0.153,0.126,233.496,204.778,55.9649,55.4925,53.9581
Destiny,iso_area,ReadEDP,SRAM,256,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
Destiny,iso_area,ReadEDP,SRAM,512,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
Destiny,iso_area,ReadEDP,SRAM,1024,222772,0.277,0.188,233.496,204.778,256.825,256.352,431.665
Destiny,iso_area,ReadEDP,SRAM,2048,295300,0.265,0.197,191.038,151.326,258.918,257.946,471.897
Destiny,iso_area,ReadEDP,SRAM,4096,396124,0.399,0.288,170.986,140.64,265.83,264.794,660.679
Destiny,iso_area,ReadEDP,RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,iso_area,ReadEDP,RRAM,32,312687,1.81313,20.1811,10.1778,0.798,58.5622,422.445,1241.76
Destiny,iso_area,ReadEDP,RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,iso_area,ReadEDP,RRAM,128,986694,2.16735,20.3458,9.80925,0.796,75.1785,437.691,2573.18
Destiny,iso_area,ReadEDP,RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,iso_area,ReadEDP,RRAM,512,1124300.0,2.45034,20.4668,9.16191,0.794,80.887,440.76,5443.46
Destiny,iso_area,ReadEDP,RRAM,1024,2215640.0,3.14301,20.8131,9.16191,0.794,100.052,459.925,10886.9
Destiny,iso_area,ReadEDP,RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,iso_area,ReadEDP,RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,iso_area,ReadEDP,PCRAM,16,47441.2,0.055,150.031,492.303,0.107,166.684,11626.9,7.97047
Destiny,iso_area,ReadEDP,PCRAM,32,48413.2,0.055,150.031,492.303,0.107,293.986,11754.2,15.9409
