Configuration,Total_Area,Read_L,Write_L,Read_BW,Write_BW,RDE,WDE,Leakage_Power
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/2048KB/2048KB.out,903846.757um^2,2.230ns,10.537ns,8.214GB/s,1.575GB/s,74.728pJ,171.944pJ,404.503uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/4096KB/4096KB.out,1.550mm^2,2.664ns,10.772ns,8.213GB/s,1.570GB/s,83.964pJ,181.228pJ,765.362uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/16KB/16KB.out,46161.307um^2,101.801ps,90.401ps,373.830GB/s,280.426GB/s,9.326pJ,8.545pJ,4.577uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/32KB/32KB.out,92322.613um^2,149.069ps,114.034ps,373.830GB/s,280.426GB/s,14.168pJ,13.387pJ,9.155uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/64KB/64KB.out,188242.493um^2,190.658ps,146.302ps,290.879GB/s,206.344GB/s,18.831pJ,17.275pJ,15.596uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/128KB/128KB.out,260712.831um^2,265.326ps,196.902ps,191.038GB/s,151.326GB/s,21.742pJ,20.770pJ,29.494uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/256KB/256KB.out,292069.853um^2,379.057ps,281.530ps,157.099GB/s,142.143GB/s,25.165pJ,23.906pJ,31.914uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/512KB/512KB.out,638282.226um^2,545.414ps,397.959ps,149.225GB/s,98.107GB/s,36.045pJ,33.397pJ,74.722uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/1024KB/1024KB.out,892661.510um^2,753.943ps,544.287ps,80.837GB/s,70.941GB/s,43.117pJ,38.944pJ,121.209uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/2048KB/2048KB.out,1.593mm^2,1.154ns,770.041ps,74.786GB/s,59.551GB/s,62.400pJ,54.081pJ,229.041uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/4096KB/4096KB.out,3.010mm^2,1.855ns,1.141ns,48.276GB/s,52.669GB/s,85.759pJ,73.098pJ,427.646uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/16KB/16KB.out,141825.153um^2,1.738ns,20.173ns,10.178GB/s,797.131MB/s,37.159pJ,93.304pJ,310.675uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/32KB/32KB.out,74151.958um^2,1.751ns,20.213ns,10.018GB/s,796.364MB/s,33.783pJ,90.273pJ,155.918uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/64KB/64KB.out,148303.916um^2,1.788ns,20.232ns,10.018GB/s,796.364MB/s,38.418pJ,94.908pJ,311.836uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/128KB/128KB.out,295233.628um^2,1.873ns,20.290ns,10.081GB/s,795.388MB/s,45.815pJ,102.765pJ,312.894uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/256KB/256KB.out,309682.623um^2,1.893ns,20.343ns,9.756GB/s,793.573MB/s,47.959pJ,105.829pJ,322.100uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/512KB/512KB.out,334461.338um^2,1.912ns,20.411ns,9.220GB/s,791.100MB/s,50.504pJ,110.220pJ,328.900uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/1024KB/1024KB.out,472532.415um^2,2.144ns,20.475ns,9.373GB/s,791.049MB/s,52.466pJ,109.041pJ,668.983uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/2048KB/2048KB.out,678394.723um^2,2.466ns,20.546ns,8.943GB/s,791.136MB/s,62.988pJ,115.928pJ,1.398mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/4096KB/4096KB.out,759598.369um^2,2.514ns,20.627ns,8.624GB/s,788.549MB/s,66.526pJ,120.385pJ,1.457mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/16KB/16KB.out,,,,,,,,
